hash_par_vitima_suspeito,data_da_denuncia,denunciante,relacao_demandante_vitima,canal_de_atendimento,pais_de_origem_da_vitima,uf,estado,municipio,cenario_da_violacao,grupo_vulneravel,genero_da_vitima,idade_vitima,grau_instrucao_da_vitima,faixa_de_renda_da_vitima,raca_cor_da_vitima,deficiencia_vitima,genero_do_suspeito,idade_suspeito,grau_instrucao_do_suspeito,faixa_de_renda_do_suspeito,raca_cor_do_suspeito,deficiencia_suspeito,relacao_suspeito_x_vitima,denuncia_emergencial,nacionalidade_da_vitima,nacionalidade_do_suspeito,pais_de_origem_do_suspeito,etnia_da_vitima,etnia_do_suspeito,violacoes,motivacoes,agravantes,orientacao_sexual
78540D4BFC75544139923BB2E24A3585221E8F4AFEB393CCF421EFACAC200685,05/03/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SC,Santa Catarina,Gaspar,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Criança ou Adolescente,MASCULINO,12 a 14 anos,N/D,N/D,PRETA,NÃO,FEMININO,40 a 44 anos,N/D,N/D,PRETA,NÃO,N/D,NÃO,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_fisica.INSUBSISTÊNCIA INTELECTUAL;violencia_psicologica.INSUBSISTÊNCIA AFETIVA;violencia_agressao_direito_liberdade.FALTA DE ACESSIBILIDADE,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
A5463C2E15820FAFC9EB8405BD9897C7B1656EA350113DF412F43A2A0BDDD865,06/01/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,BA,Bahia,Feira de Santana,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Pessoa com Deficiência,FEMININO,45 a 49 anos,ENSINO FUNDAMENTAL INCOMPLETO,ATÉ 1 SALÁRIO MÍNIMO,PARDA,SIM,MASCULINO,N/D,ENSINO FUNDAMENTAL INCOMPLETO,ATÉ 1 SALÁRIO MÍNIMO,PRETA,NÃO,COMPANHEIRO(A),NÃO,BRASILEIRO(A),BRASILEIRO(A),N/D,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.EXPOSIÇÃO;violencia_violacoes_gerais.EXPLORAÇÃO DO TRABALHO DA PESSOA COM DEFICIÊNCIA,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,"Agravantes.AGRESSOR CONHECIDO;Agravantes.MOTIVO VIL, TORPE, INSIDIOSO, CRUEL, À TRAIÇÃO, OU POR DINHEIRO",
13AA185F391A71752423185E40CE7FC5D211B49B4B0A2EB9819A3387EE6D4CFA,25/06/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,BA,Bahia,Salvador,AMBIENTE VIRTUAL (INTERNET/REDE SOCIAL/APLICATIVOS),Violência Contra Pessoa Idosa,FEMININO,60 a 64 anos,N/D,N/D,N/D,N/D,MASCULINO,N/D,N/D,N/D,N/D,N/D,N/D,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA,N/D,N/D,N/D,N/D,N/D,violencia_violacoes_gerais.VIOLÊNCIA PATRIMONIAL,Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
1829B589D0A59C488023112E75E86105B3E3E1AC5F5802B80D1262B074213F85,20/05/2020 00:00,TERCEIRO,PAI/ MÃE,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,AL,Alagoas,Maravilha,CASA VÍTIMA,Violência Contra Criança ou Adolescente,FEMININO,02 a 04 anos,N/D,N/D,PARDA,NÃO,FEMININO,15 a 17 anos,N/D,N/D,PARDA,NÃO,PAI/ MÃE,NÃO,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_psicologica.ALIENAÇÃO PARENTAL;violencia_violacoes_gerais.AGRESSÕES QUE VIOLAM O DIREITO A IGUALDADE FORMAL,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL;Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE;Agravantes.AGRESSOR CONHECIDO;Agravantes.RESULTADO DAS AGRESSÕES SE PROLONGAM AO LONGO DO TEMPO",
7A64D21D4C6020D94127FD28EA235D892D7CF8F1884827FB4D7A8952314A05DA,07/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,Ribeirão Preto,OUTROS,Violência Contra Pessoa Socialmente Vulnerável,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,RISCO IMINENTE DE MORTE DA VÍTIMA,N/D,N/D,N/D,N/D,N/D,violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_psicologica.TORTURA PSÍQUICA,Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL;Agravantes.AGRESSOR CONHECIDO;Agravantes.RELAÇÃO DE TRABALHO ENTRE A VÍTIMA E O AGRESSOR;Agravantes.MOTIVO VIL, TORPE, INSIDIOSO, CRUEL, À TRAIÇÃO, OU POR DINHEIRO",
07D9CBD5B8DD4834FB08BE2FE73245F8FF420A3E0C3A64CB86FA9D2BF7C079CD,11/01/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,São Paulo,CASA DE TERCEIRO,Violência Contra Criança ou Adolescente,N/D,N/D,N/D,N/D,N/D,N/D,FEMININO,35 a 39 anos,N/D,N/D,N/D,N/D,CUIDADOR(A),NÃO,N/D,N/D,BRASIL,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_psicologica.EXPOSIÇÃO;violencia_psicologica.CONSTRANGIMENTO,,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
D7EC3A5E23D39ECA565C8D6EA9D984BEE5A2F96DB3F6363F37B6CBDA8083A535,31/03/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,São Paulo,LOCAL DE TRABALHO DO AGRESSOR,Violência Contra Pessoa Socialmente Vulnerável,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,NÃO,N/D,N/D,BRASIL,N/D,N/D,violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,,
E84B7A471E4DD90C492E88158789810E8AF7F3C845B689A9890AE01A14F81861,14/04/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,RS,Rio Grande do Sul,São Leopoldo,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Pessoa Idosa,FEMININO,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA,N/D,N/D,N/D,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_psicologica.CONSTRANGIMENTO,Motivação.EM RAZÃO DE CONDIÇÕES FÍSICAS,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
3A05D73397BE63B71CD0A5A0956ABEB279FBC5CF88C4C16B069F6A49445C139A,29/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,RJ,Rio de Janeiro,Belford Roxo,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Pessoa Idosa,FEMININO,65 a 69 anos,ENSINO FUNDAMENTAL COMPLETO,ATÉ 1 SALÁRIO MÍNIMO,PRETA,NÃO,FEMININO,25 a 29 anos,N/D,ATÉ 1 SALÁRIO MÍNIMO,PRETA,NÃO,FILHO(A),NÃO,BRASILEIRO(A),BRASILEIRO(A),N/D,N/D,N/D,violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_fisica.MAUS TRATOS;violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_fisica.AGRESSÃO/VIAS DE FATO;violencia_fisica.TORTURA FÍSICA;violencia_psicologica.TORTURA PSÍQUICA;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.EXPOSIÇÃO;violencia_psicologica.ASSÉDIO MORAL;violencia_psicologica.AMEAÇA/COAÇÃO;violencia_psicologica.INSUBSISTÊNCIA AFETIVA;violencia_agressao_honra.INJÚRIA;violencia_agressao_direito_liberdade.AUTONOMIA DE VONTADE,Motivação.EM RAZÃO DE CONDIÇÕES FÍSICAS;Motivação.EM RAZÃO DA IDADE,"Agravantes.AGRESSOR CONHECIDO;Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE;Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
32E69CCB6052F4362092E668C9C03F105669A3707820AB84469FC6DEAEA1C1A7,10/01/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,São Paulo,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Criança ou Adolescente,N/D,N/D,N/D,N/D,N/D,N/D,FEMININO,30 a 34 anos,N/D,N/D,PARDA,N/D,PAI/ MÃE,NÃO,N/D,N/D,BRASIL,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_psicologica.CONSTRANGIMENTO,,,
B4356E2A0359AA5FC28D5F309A81A3AB9D2954F99179C210DB09E7BD6FD60BF3,08/01/2020 00:00,TERCEIRO,VIZINHO(A),DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,São Paulo,N/D,Violência Contra Pessoa Idosa,N/D,70 a 74 anos,N/D,N/D,BRANCA,NÃO,FEMININO,60 a 64 anos,N/D,N/D,N/D,NÃO,N/D,NÃO,N/D,N/D,N/D,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_psicologica.EXPOSIÇÃO;violencia_violacoes_gerais.VIOLÊNCIA PATRIMONIAL,Motivação.EM RAZÃO DA IDADE,,
1EE7A2A9DE7A1E1B14141626FBBB1B6D4DA496FA6DB26EEC18D5B6D6794C6680,20/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,BA,Bahia,Nazaré,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Pessoa Idosa,FEMININO,70 a 74 anos,SUPERIOR COMPLETO,ACIMA DE  15 SALÁRIOS MÍNIMOS,BRANCA,SIM,MASCULINO,60 a 64 anos,ENSINO FUNDAMENTAL COMPLETO,N/D,PARDA,NÃO,COMPANHEIRO(A),NÃO,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_fisica.LESÃO CORPORAL;violencia_fisica.TORTURA FÍSICA;violencia_fisica.AGRESSÃO/VIAS DE FATO;violencia_fisica.MAUS TRATOS;violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.TORTURA PSÍQUICA;violencia_psicologica.AMEAÇA/COAÇÃO;violencia_psicologica.EXPOSIÇÃO;violencia_psicologica.ASSÉDIO MORAL;violencia_agressao_honra.INJÚRIA;violencia_agressao_honra.CALÚNIA;violencia_agressao_honra.DIFAMAÇÃO;violencia_agressao_direito_liberdade.CÁRCERE PRIVADO;violencia_agressao_direito_liberdade.AUTONOMIA DE VONTADE;violencia_agressao_direito_liberdade.FALTA DE ACESSIBILIDADE;violencia_violacoes_gerais.VIOLÊNCIA PATRIMONIAL;violencia_violacoes_gerais.AGRESSÕES QUE VIOLAM O DIREITO A IGUALDADE FORMAL,Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA;Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,"Agravantes.VIOLÊNCIA NO ÂMBITO DOMÉSTICO - COABITAÇÃO E HOSPITALIDADE;Agravantes.MOTIVO VIL, TORPE, INSIDIOSO, CRUEL, À TRAIÇÃO, OU POR DINHEIRO;Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE;Agravantes.RESULTADO DAS AGRESSÕES SE PROLONGAM AO LONGO DO TEMPO;Agravantes.AGRESSOR CONHECIDO",
85CC90714AE698D8D84AFE5F68B042EA9E114E3286F8AF1246280953D51DDE30,15/01/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,Irapuru,CASA VÍTIMA,Violência Contra Pessoa Idosa,FEMININO,65 a 69 anos,N/D,ATÉ 1 SALÁRIO MÍNIMO,PARDA,SIM,FEMININO,35 a 39 anos,N/D,N/D,PARDA,NÃO,FILHO(A),NÃO,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_psicologica.ASSÉDIO MORAL;violencia_psicologica.TORTURA PSÍQUICA;violencia_psicologica.INSUBSISTÊNCIA AFETIVA;violencia_psicologica.AMEAÇA/COAÇÃO;violencia_agressao_honra.DIFAMAÇÃO;violencia_agressao_honra.CALÚNIA,Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE;Agravantes.AGRESSOR CONHECIDO;Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
640A1A261E3BAF4EFD3E326733B00F83B8CD2B3ACCB6E0EEC3433F3D11F38202,12/03/2020 00:00,A PRÓPRIA VÍTIMA,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,RJ,Rio de Janeiro,Volta Redonda,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Pessoa Idosa,LGBTQIA+,65 a 69 anos,SUPERIOR COMPLETO,1 A 3 SALÁRIOS MÍNIMOS,BRANCA,SIM,MASCULINO,60 a 64 anos,SUPERIOR COMPLETO,1 A 3 SALÁRIOS MÍNIMOS,BRANCA,NÃO,IRMÃO(Ã),RISCO IMINENTE DE MORTE DA VÍTIMA,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_fisica.AGRESSÃO/VIAS DE FATO;violencia_psicologica.AMEAÇA/COAÇÃO;violencia_crime_vida.TENTATIVA DE HOMICÍDIO,Motivação.EM RAZÃO DA RELIGIÃO,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",HOMOSSEXUAL
71744D772A46F7E856B843294F29EDB35240711F98BE3B8315EE20436065CECE,04/03/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,Santópolis do Aguapeí,CASA VÍTIMA,Violência Contra Pessoa Idosa,MASCULINO,80 anos ou mais,N/D,N/D,PRETA,SIM,N/D,N/D,N/D,N/D,N/D,N/D,N/D,NÃO,BRASILEIRO(A),N/D,BRASIL,N/D,N/D,violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_fisica.MAUS TRATOS;violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.TORTURA PSÍQUICA;violencia_psicologica.EXPOSIÇÃO;violencia_violacoes_gerais.CRIMES CONTRA A SEGURANÇA PSÍQUICA;violencia_violacoes_gerais.CRIMES CONTRA A SEGURANÇA FÍSICA,Motivação.EM RAZÃO DA IDADE;Motivação.EM RAZÃO DE CONDIÇÕES FÍSICAS,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
